time,x,y,rssi,tag_id
1619190730181274890,54.205190179050156,0.6362367747253046,-56,417e62aa
1619190745999516010,51.40951439379272,0.8439185788413823,-60,417e62aa
1619190760154299736,49.23997090788969,0.8994813203598611,-62,417e62aa
1619190776853615760,46.97477242722559,0.7533478157184348,-60,417e62aa
1619190791567888498,44.990035318471456,0.6549997844444775,-68,417e62aa
1619190806618349790,43.169131251859895,0.6640312030286921,-72,417e62aa
1619190822643570184,41.16578928088705,0.6844000915000024,-69,417e62aa
1619190836333982706,39.306343142279225,0.6976027905244706,-76,417e62aa
1619190851752275466,37.274221588938076,0.7286309637766735,-56,417e62aa
1619190865444240570,35.161852376976555,0.6880848708836425,-65,417e62aa
1619190881677737474,33.03864669168742,0.6604775346422542,-53,417e62aa
1619190895385688304,31.224208281992453,0.6229360712647534,-57,417e62aa
1619190912002975463,29.380124214392296,0.6273320633736432,-55,417e62aa
1619190926271327257,27.07064404065514,0.5621023937972858,-56,417e62aa
1619190939771414279,24.598790174001373,0.6051255806128886,-56,417e62aa
1619190955493443250,22.417644647493773,0.6048566549441894,-62,417e62aa
1619190970768389463,20.464106680750945,0.6181735509005648,-49,417e62aa
1619190987640709400,18.868984240466077,0.5708780385467378,-50,417e62aa
1619191002149149179,17.690746800268954,0.6104525416679643,-55,417e62aa
1619191016303870677,17.25620046258257,2.455504850432792,-44,417e62aa
1619191029803241014,17.230266055127842,4.535292469158293,-58,417e62aa
1619191047428801059,17.30677637627157,6.398392029455998,-71,417e62aa
1619191060944825887,17.40343217179813,8.207972557893921,-64,417e62aa
1619191075818429946,17.42421703120897,10.194257161371635,-72,417e62aa
1619191090468578338,17.26618334858678,12.594246812361876,-70,417e62aa
1619191105072786569,17.098678985954862,14.979671331706125,-71,417e62aa
1619191119851312160,17.09281667257298,16.62540674335834,-75,417e62aa
1619191119851312160,17.068488817464186,18.305149161616832,-75,417e62aa
1619191119851312160,17.053834219084024,20.084058433484405,-75,417e62aa
1619191167194859504,16.998817084314027,21.857380229868205,-78,417e62aa
1619191183542120695,17.055696894162807,23.576022321170218,-78,417e62aa
1619191183542120695,17.10624057144068,25.342291348869125,-78,417e62aa
1619191210155822038,17.181938640333925,27.53356448206625,-75,417e62aa
1619191224679558515,17.15114103634653,29.270922507218067,-78,417e62aa
1619191240785479307,17.145959436599895,30.826299505755994,-82,417e62aa
1619191256922563076,17.16470000491225,32.660414720776785,-79,417e62aa
1619191256922563076,17.094226052731116,34.857190316499256,-79,417e62aa
1619191285827376842,17.024339534653365,36.93813198477641,-81,417e62aa
1619191285827376842,16.902447290829784,38.4880656122911,-81,417e62aa
1619191285827376842,16.821411340060507,40.228855852631426,-81,417e62aa
1619191285827376842,16.769685749407316,41.37717655382035,-81,417e62aa
1619191285827376842,16.786421083832906,43.14056774082597,-81,417e62aa
1619191285827376842,16.790274426105952,44.59420662097222,-81,417e62aa
1619191285827376842,16.715417073166208,46.28952460135409,-81,417e62aa
1619191285827376842,16.546505973956968,47.9550265825583,-81,417e62aa
1619191285827376842,16.3012777912204,49.507281130636436,-81,417e62aa
1619191285827376842,16.12519401521959,50.494310001934934,-81,417e62aa
1619191285827376842,14.67876164356312,50.7299493462701,-81,417e62aa
1619191285827376842,13.351137846749815,50.730160058053855,-81,417e62aa
1619191285827376842,12.037678826099821,50.666005677616454,-81,417e62aa
1619191285827376842,10.59806715979515,50.51875099568737,-81,417e62aa
1619191285827376842,8.555667574911169,50.381300140651845,-81,417e62aa
1619191285827376842,6.466675237067086,50.24754909998088,-81,417e62aa
1619191285827376842,4.354108050294457,50.092152850026615,-81,417e62aa
1619191285827376842,1.7029808355675442,50.05171563525474,-81,417e62aa
1619191285827376842,-1.0558671998537292,50.09890520723023,-81,417e62aa
1619191285827376842,-3.250528927842062,50.07525828100117,-81,417e62aa
1619191285827376842,-6.061321100483205,50.002860856013285,-81,417e62aa
1619191285827376842,-8.926989328080989,49.8827981425071,-81,417e62aa
1619191616553743600,-9.238304685916404,50.19565943774931,-78,417e62aa
1619191632388973474,-6.64205522578974,50.39864671165627,-80,417e62aa
1619191632388973474,-4.556217258340112,50.52516086560415,-80,417e62aa
1619191632388973474,-2.8408632924752766,50.677819013252616,-80,417e62aa
1619191632388973474,-1.267110061330058,50.781827227721465,-80,417e62aa
1619191632388973474,0.4105485181929751,50.64621982568957,-80,417e62aa
1619191632388973474,2.380749673017597,50.68305260897617,-80,417e62aa
1619191632388973474,5.236055272254571,50.69436292062146,-80,417e62aa
1619191632388973474,7.080623530396267,50.718263192567676,-80,417e62aa
1619191632388973474,9.03896349666419,50.75443382759268,-80,417e62aa
1619191632388973474,11.004135218214586,50.707115425212606,-80,417e62aa
