time,x,y,A0,A01,A02,A04,A06,A10,A9,A11,A12,A15,A16,A17,A19,A20,A24
1.60135549166458E+018,14.9497863506136,-203.782458724243,0,0,0,0,0,0,0,0,0,0,0,0,46,40,40
1.60135549668458E+018,12.9582861960805,-203.700959423064,0,0,0,0,0,0,0,0,0,0,0,0,44,40,40
1.60135550170458E+018,10.9479950355684,-203.569326206731,0,0,0,0,0,0,0,0,0,0,0,0,46,40,40
1.60135550664458E+018,8.9818605902437,-203.394075151886,0,0,0,0,0,0,0,0,0,0,0,0,41,46,40
1.60135551172459E+018,6.98923021157452,-203.097600230774,0,0,0,0,0,0,0,0,0,0,0,0,44,42,40
1.60135551660458E+018,5.25584402013643,-202.827515946482,0,0,0,0,0,0,0,0,0,0,0,0,40,47,40
1.60135552172462E+018,3.24682130262678,-202.598335650127,0,0,0,0,0,0,0,0,0,0,0,0,44,46,40
1.60135552674461E+018,1.25229739637604,-202.330068096544,0,0,0,0,0,0,0,0,0,0,0,0,46,49,40
1.60135553158457E+018,-0.6356791658236,-201.997838315493,0,0,0,0,0,0,0,0,0,0,0,0,51,43,40
1.6013555367446E+018,-2.63549553631483,-201.461014215762,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0
1.60135554174458E+018,-4.54492767311211,-200.885053208849,0,0,0,0,0,0,0,0,0,0,0,0,62,50,40
1.60135554666458E+018,-6.39927170626906,-200.267775926266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135555172458E+018,-8.30057316241323,-199.594667912474,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
1.60135555670458E+018,-10.1676127689824,-198.897162274211,0,0,0,0,0,0,0,0,0,0,0,0,49,55,40
1.60135556164538E+018,-12.0425475121744,-198.353842782263,0,0,0,0,0,0,0,0,0,0,0,0,48,47,40
1.60135556676456E+018,-13.9596640684657,-197.624543698636,0,0,0,0,0,0,0,0,0,0,0,0,51,50,40
1.60135557162458E+018,-15.7795507824652,-196.960403061956,0,0,0,0,0,0,0,0,0,0,0,0,50,51,40
1.60135557672458E+018,-17.502802705495,-196.041767093727,0,0,0,0,0,0,0,0,0,0,0,0,61,49,40
1.60135558164458E+018,-18.8470752600969,-195.318267251093,0,0,0,0,0,0,0,0,0,0,0,0,52,49,40
1.60135558670458E+018,-20.222140823121,-194.20849337906,0,0,0,0,0,0,0,0,0,0,0,0,52,46,40
1.60135559164458E+018,-20.2349091853511,-192.860170338715,0,0,0,0,0,0,0,0,0,0,0,0,56,45,40
1.60135559668458E+018,-19.9646672437106,-192.43496609526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
1.60135560162458E+018,-18.8201438224984,-190.867593431716,0,0,0,0,0,0,0,0,0,0,0,0,0,70,63
1.60135560672458E+018,-17.6182422616717,-189.238450224057,0,0,0,0,0,0,0,0,0,0,0,0,77,80,59
1.60135561174458E+018,-16.3691194964835,-187.687435379898,0,0,0,0,0,0,0,0,0,0,0,0,77,78,62
1.60135561662473E+018,-15.1741682623545,-186.139491520456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135562170458E+018,-13.8703163781294,-184.5957254897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135562666458E+018,-12.5489596682633,-183.096094342729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135563174456E+018,-11.2535811869751,-181.55083352281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135563670461E+018,-9.89754981677968,-180.111431889185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135564178459E+018,-9.66567512689509,-179.842480022565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135564666458E+018,-10.7256453847082,-181.248011615391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135565170458E+018,-11.9280884440007,-182.827255649468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135565678458E+018,-13.2364258080841,-184.364217735266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135566174458E+018,-14.4668851287389,-185.903878436117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135566660458E+018,-15.7705873360243,-187.318887083024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135567174458E+018,-17.241298007052,-188.742690778489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135567658458E+018,-18.6635363860867,-190.041513155647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135568162458E+018,-20.157658235806,-191.357854237166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135568662459E+018,-21.3531714820882,-192.391290950076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60135569162456E+018,-21.3655150085914,-192.40278684717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
1.60135569674457E+018,-21.4672533752424,-193.369923065805,0,0,0,0,0,0,0,0,0,0,0,0,72,0,50
1.60135570162458E+018,-20.4551349552267,-194.750548562667,0,0,0,0,0,0,0,0,0,0,0,0,51,53,40
1.60135570670455E+018,-19.1807430318579,-196.313787833727,0,0,0,0,0,0,0,0,0,0,0,0,62,47,41
1.60135571158458E+018,-17.9531604950538,-197.794924644311,0,0,0,0,0,0,0,0,0,0,0,0,57,46,40
1.60135571662458E+018,-16.8575876669364,-199.489865857085,0,0,0,0,0,0,0,0,0,0,0,0,53,46,43
1.60135572166458E+018,-16.0039019800368,-201.319981767808,0,0,0,0,0,0,0,0,0,0,0,0,51,47,40
1.60135572670454E+018,-15.6532848314204,-201.920749487149,0,0,0,0,0,0,0,0,0,0,0,0,57,61,40
1.60135573158458E+018,-14.2844375238116,-203.193364671866,0,0,0,0,0,0,0,0,0,0,0,0,60,50,40
1.60135573658458E+018,-13.1422424678602,-204.826475608724,0,0,0,0,0,0,0,0,0,0,0,0,47,52,40
1.60135574172459E+018,-12.1179012222342,-206.597647512465,0,0,0,0,0,0,0,0,0,0,0,0,49,61,40
1.60135574676458E+018,-11.2210577872432,-208.407168871899,0,0,0,0,0,0,0,0,0,0,0,0,50,50,40
1.60135575164458E+018,-10.174134165334,-210.030567839316,0,0,0,0,0,0,0,0,0,0,0,0,50,46,40
1.60135575672458E+018,-9.248598209767,-211.83985280022,0,0,0,0,0,0,0,0,0,0,0,0,47,48,40
1.60135576176458E+018,-8.39994397806661,-213.63989931406,0,0,0,0,0,0,0,0,0,0,0,0,46,0,40
1.60135576676458E+018,-7.59879219645546,-215.48946684535,0,0,0,0,0,0,0,0,0,0,0,0,47,52,46
1.60135577166457E+018,-6.84765335886389,-217.269404583391,0,0,0,0,0,0,0,0,0,0,0,0,43,40,40
1.60135577660455E+018,-6.2477454540687,-219.143883978146,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40
1.60135578172494E+018,-5.61672099916872,-221.095990055772,0,0,0,0,0,0,0,0,0,0,0,0,41,41,40
1.60135578676458E+018,-5.09011319104703,-223.014986480278,0,0,0,0,0,0,0,0,0,0,0,0,42,40,40
1.60135579160459E+018,-4.65711201423334,-224.897898160751,0,0,0,0,0,0,0,0,0,0,0,0,49,41,40
1.60135579670458E+018,-4.26786659251023,-226.889325774338,0,0,0,0,0,0,0,0,0,0,0,0,54,40,40
1.60135580162458E+018,-3.95040262808212,-228.837780894007,0,0,0,0,0,0,0,0,0,0,0,0,50,41,40
1.60135580674458E+018,-3.6867516470703,-230.85103624745,0,0,0,0,0,0,0,0,0,0,0,0,40,41,50
1.60135581170458E+018,-3.43907391840071,-232.8104608356,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41
1.60135581662458E+018,-3.22195546400655,-234.749210735193,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40
1.60135582174458E+018,-3.11647330334739,-236.798425954407,0,0,0,0,0,0,0,0,0,0,0,0,40,40,45
1.60135582666458E+018,-3.04319976641514,-238.75125693331,0,0,0,0,0,0,0,0,0,0,0,0,40,40,56
1.60135583168458E+018,-3.07475992924179,-240.764602946817,0,0,0,0,0,0,0,0,0,0,0,0,40,40,44
1.60135583674458E+018,-3.16192784149182,-242.77681056015,0,0,0,0,0,0,0,0,0,0,0,0,40,40,43
1.60135584164458E+018,-3.28953569079738,-244.725312059371,0,0,0,0,0,0,0,0,0,0,0,0,40,40,46
1.60135584674458E+018,-3.48799079983569,-246.746487870024,0,0,0,0,0,0,0,0,0,0,0,0,40,40,46
1.60135585172458E+018,-3.74787895869485,-248.374920735766,0,0,0,0,0,0,0,0,0,0,0,0,40,40,41
1.60135585660459E+018,-4.08846608029419,-250.295743680701,0,0,0,0,0,0,0,0,0,0,0,0,40,41,43
1.60135586176458E+018,-4.49543730478209,-252.306911483539,0,0,0,0,0,0,0,0,0,0,0,0,40,47,46
1.60135586670467E+018,-4.93254590885317,-254.22925032534,0,0,0,0,0,0,0,0,0,0,0,0,40,44,51
1.60135587166461E+018,-5.41687889350874,-256.144462107061,0,0,0,0,0,0,0,0,0,0,0,0,40,41,59
1.60135587674459E+018,-5.8938490684668,-258.118788306577,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
1.60135588166459E+018,-6.36816925442326,-260.027496220101,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
1.60135588678468E+018,-7.09971387653567,-261.928730721766,0,0,0,0,0,0,0,0,0,0,81,71,40,40,64
1.60135589162458E+018,-8.69533375731567,-262.884226026048,0,0,0,0,0,0,0,0,0,0,72,0,40,40,60
1.60135589666458E+018,-10.036814209612,-263.24920519118,0,0,0,0,0,0,0,0,0,77,61,44,40,57,77
1.60135590170458E+018,-11.9959969115642,-263.587210174154,0,0,0,0,0,0,0,0,74,81,66,44,40,65,75
1.60135590674458E+018,-13.9840703985562,-263.880578265201,0,0,0,0,0,0,0,0,0,76,64,45,40,60,0
1.60135591160458E+018,-15.8997490296895,-264.129246362402,0,0,0,0,0,0,0,0,72,0,0,51,40,63,77
1.60135591672459E+018,-17.9364254309773,-264.352495836969,0,0,0,0,0,0,0,0,0,0,0,62,47,73,0
1.60135592178458E+018,-19.9538127358892,-264.431092077932,0,0,0,0,0,0,0,0,71,0,64,54,40,0,0
1.60135592676458E+018,-21.9349931062663,-264.422937079802,0,0,0,0,0,0,0,0,75,71,66,49,41,79,0
1.60135593164461E+018,-23.8811755586846,-264.573756606154,0,0,0,0,0,0,0,0,67,66,52,42,40,64,0
