time,x,y,26453,27170,27183,27157,27180,27141,27160
1599810361959705591,-13.91068668,4.330520785,0,0,0,-86,0,0,0
1599810362206848621,-13.8801592,4.428353621,0,0,0,0,0,0,-94
1599810362352507591,-13.87146837,4.453387902,0,0,0,-84,0,0,0
1599810362645689964,-13.83631801,4.544317,0,0,0,0,0,-97,0
1599810362746798992,-13.82349953,4.573636419,0,0,0,-84,0,0,0
1599810362998538732,-13.78478674,4.653763835,0,0,0,0,0,0,-94
1599810363062596559,-13.78478674,4.653763835,0,0,0,0,0,-94,0
1599810363165939569,-13.76731858,4.68694574,0,0,0,-86,0,0,0
1599810363412756681,-13.71708916,4.772241632,0,0,0,0,0,0,-96
1599810363477400541,-13.71708916,4.772241632,0,0,0,0,0,-92,0
1599810363575720548,-13.69848399,4.801293905,0,0,0,-88,0,0,0
1599810363821442365,-13.64186152,4.883704926,0,0,0,0,0,0,-95
1599810363882829904,-13.64186152,4.883704926,0,0,0,0,0,-94,0
1599810363982420921,-13.62395355,4.908394073,0,0,0,-90,0,0,0
1599810364232520341,-13.56385476,4.988942974,0,0,0,0,0,0,-96
1599810364295959234,-13.56385476,4.988942974,0,0,0,0,0,-92,0
1599810364389732122,-13.54326716,5.016000957,0,0,0,-84,0,0,0
1599810364636266469,-13.48274121,5.093708177,0,0,0,0,0,0,-93
1599810364699425935,-13.50181537,5.142604325,0,0,0,0,0,-91,0
1599810365039308786,-13.43804906,5.21767734,0,0,0,0,0,0,-95
1599810365100486516,-13.41670772,5.242187812,0,0,0,0,0,-94,0
1599810365205562591,-13.39479457,5.266861972,0,0,0,-86,0,0,0
1599810365448592185,-13.34808866,5.318326074,0,0,0,0,0,0,-99
1599810365510591506,-13.32381705,5.344232406,0,0,0,0,0,-89,0
1599810365611760616,-13.30119851,5.368261583,0,0,0,-84,0,0,0
1599810365923840284,-13.23226984,5.440017871,0,0,0,0,0,-92,0
1599810366024635791,-13.21026512,5.462557645,0,0,0,-83,0,0,0
1599810366279829978,-13.16301317,5.51075991,0,0,0,0,0,0,-99
1599810366344385623,-13.14295226,5.531003641,0,0,0,0,0,-90,0
1599810366438072919,-13.11726023,5.556929823,0,0,0,-80,0,0,0
1599810366742355346,-13.05340301,5.619638123,0,0,0,0,0,-91,0
1599810366833865404,-13.02813621,5.643857692,0,0,0,-80,0,0,0
1599810367131234645,-12.96385878,5.705415372,0,0,0,0,0,-89,0
1599810367233413219,-12.93841169,5.729445357,0,0,0,-81,0,0,0
1599810367483163118,-12.89362921,5.770863983,0,0,0,0,0,0,-100
1599810367539557218,-12.86972015,5.792877758,0,0,0,0,0,-88,0
1599810367603005647,-12.86972015,5.792877758,0,0,0,0,-103,0,0
1599810367647587299,-12.84586817,5.814209059,0,0,0,-81,0,0,0
1599810367899459600,-12.78466728,5.511578657,0,0,0,0,0,0,-110
1599810367956459999,-12.81252222,5.828754762,0,0,0,0,0,-91,0
1599810368061218261,-12.78741081,5.845166389,0,0,0,-81,0,0,0
1599810368362987518,-12.72270387,5.883065338,0,0,0,0,0,-90,0
1599810368455467224,-12.69884726,5.895707588,0,0,0,-80,0,0,0
1599810368754695892,-12.63145217,5.928596324,0,0,0,0,0,-88,0
1599810368862472534,-12.60861583,5.938769571,0,0,0,-85,0,0,0
1599810369148848295,-12.54391954,5.965486603,0,0,0,0,0,-86,0
1599810369242169857,-12.52429543,5.972962154,0,0,0,-83,0,0,0
1599810369637367486,-12.44254607,6.001203972,0,0,0,-84,0,0,0
1599810369929974794,-12.37821527,6.01990856,0,0,0,0,0,-84,0
1599810370025997877,-12.36080866,6.024491567,0,0,0,-85,0,0,0
1599810370318208456,-12.30774273,6.036893844,0,0,0,0,0,-84,0
1599810370415218114,-12.29206319,6.04007963,0,0,0,-85,0,0,0
1599810370702856540,-12.28823324,6.130986929,0,0,0,0,0,-86,0
1599810370767478942,-12.28823324,6.130986929,0,0,0,0,-102,0,0
1599810370812060356,-12.29228134,6.155142901,0,0,0,-87,0,0,0
1599810371102879524,-12.2383002,6.15482288,0,0,0,0,0,-85,0
1599810371200866222,-12.2193359,6.15366422,0,0,0,-87,0,0,0
1599810371500983476,-12.15920968,6.147064539,0,0,0,0,0,-84,0
1599810371599589347,-12.13452658,6.143103251,0,0,0,-85,0,0,0
1599810371883872985,-12.07565199,6.131557285,0,0,0,0,0,-82,0
1599810371986427307,-12.04155351,6.123669066,0,0,0,-85,0,0,0
1599810372280353784,-11.94900795,6.098201106,0,0,0,0,0,-81,0
1599810372375518798,-11.92327614,6.090023924,0,0,0,-85,0,0,0
1599810372660786867,-11.83028943,6.056101176,0,0,0,0,0,-84,0
1599810372765494346,-11.80207407,6.044521283,0,0,0,-87,0,0,0
1599810373135995864,-11.5436869,6.372970069,0,0,0,-83,0,0,0
1599810373508538484,-11.43024748,6.333837215,0,0,0,-92,0,0,0
1599810373891852140,-11.33897108,6.302518754,0,0,0,-92,0,0,0
1599810374189716815,-11.28745338,6.284737698,0,0,0,0,0,-85,0
1599810374284920930,-11.25906406,6.27504007,0,0,0,-91,0,0,0
1599810374663311004,-11.13799522,6.233493591,0,0,0,-93,0,0,0
1599810374945761442,-11.04544379,6.2012738,0,0,0,0,0,-83,0
1599810375040681362,-11.01718375,6.19120565,0,0,0,-92,0,0,0
1599810375415292739,-10.89697277,6.147238163,0,0,0,-96,0,0,0
1599810375778038263,-10.8044914,6.113336571,0,0,0,-96,0,0,0
1599810376147757053,-10.79688454,6.129630625,0,0,0,-95,0,0,0
1599810376520609855,-10.6802665,6.086036783,0,0,0,-96,0,0,0
1599810376896284580,-10.95363628,6.922451892,0,0,0,-97,0,0,0
1599810377187461853,-10.52118722,6.026089657,0,0,0,0,0,-80,0
