time,x,y,rss,distance,tag_id
1601356729482165813,0.293803189410796,-225.65727154745056,-80,839,26453
1601356729641748428,0.2604135077186813,-225.7308726566116,-80,1114,26453
1601356729799168348,0.23629730091184803,-225.78555746410566,-78,1110,26453
1601356729955079317,0.21226179097932865,-225.84152982822934,-78,1110,26453
1601356730111622333,0.18907755024684714,-225.89739373378137,-79,894,26453
1601356730279255390,0.1669802957207874,-225.95379834595863,-80,884,26453
1601356730438424825,0.14688524640850623,-226.01008228836977,-79,913,26453
1601356730594798803,0.12294037003578043,-226.08691616891778,-79,634,26453
1601356730761667490,0.10781845916107317,-226.1454242596251,-79,797,26453
1601356730802361488,0.10352980862888565,-226.16451968328477,-101,33306,27204
1601356730924732208,0.09561816822001208,-226.20412210000868,-79,740,26453
1601356731233643770,0.07828472268097607,-226.34245308218254,-79,717,26453
1601356731394973754,0.07628265809148033,-226.38135137903058,-78,787,26453
1601356731552455663,0.07514567906113818,-226.46009977152065,-78,736,26453
1601356731706810951,0.07665436252853983,-226.52271649610128,-79,726,26453
1601356731864369392,0.07980149332856055,-226.5807697471576,-78,881,26453
1601356732018937826,0.08465414015525145,-226.6594796656832,-79,1203,26453
1601356732175064563,0.08722594559548624,-226.70007210118854,-79,1217,26453
1601356732331513404,0.09116959901229854,-226.76028389089655,-79,875,26453
1601356732653840780,0.10063084218975216,-226.8988263914865,-78,881,26453
1601356732695855617,0.10063084218975216,-226.8988263914865,-103,32401,27204
1601356732818585157,0.10475304460509945,-226.95792303045488,-78,880,26453
1601356732859979867,0.10475304460509945,-226.95792303045488,-102,32307,27204
1601356732982747793,0.11027881122350074,-227.03682840960064,-79,969,26453
1601356733148186206,0.11443112962839692,-227.09592294015957,-79,1034,26453
1601356733190026521,0.11580797935931966,-227.11554167777422,-106,32335,27204
1601356733468766212,0.12269561792274015,-227.21401887725747,-81,931,26453
1601356733625032663,0.12686135010515845,-227.27320840199397,-82,1212,26453
1601356733780210971,0.132413927635637,-227.3519200221469,-82,1451,26453
1601356733934951305,0.13517090878252225,-227.39106132712777,-81,1530,26453
1601356734099428653,0.13935170549038634,-227.45020182131992,-82,1582,26453
1601356734264340162,0.1449194274818006,-227.52915222467612,-80,1526,26453
1601356734303987026,0.14632143326687966,-227.54891309873292,-102,32072,27204
1601356734425653457,0.1504988219535867,-227.6079578915039,-82,1615,26453
1601356734585736751,0.1532708803760779,-227.64724204466063,-81,1774,26453
1601356734628070831,0.15465609122640422,-227.66690816413012,-101,32030,27204
1601356734750496149,0.1588201277101135,-227.72604984047376,-80,1793,26453
1601356734790292739,0.1602120408226095,-227.74590736708552,-100,32157,27204
1601356734912028074,0.1629490766926547,-227.78514600807347,-82,1853,26453
1601356734954019784,0.1643192305671743,-227.80486114954985,-101,31852,27204
1601356735076905727,0.1670678834695794,-227.84433881908853,-81,1872,26453
1601356735235715389,0.17257511861557223,-227.9234853363175,-80,2004,26453
1601356735399901390,0.17671404739546803,-227.98248486852395,-80,1999,26453
1601356735559656381,0.18086135576889556,-228.0416277201844,-81,2055,26453
1601356735871666669,0.189287161942671,-228.16095952475683,-80,2930,26453
1601356736028831958,0.1935130112747,-228.21995289316405,-80,2869,26453
1601356736187001943,0.19925072647673964,-228.2992269664299,-80,2814,26453
1601356736344863653,0.20354244502221958,-228.35855142078873,-80,3066,26453
1601356736500915765,0.2064174902686857,-228.39835592791627,-79,2898,26453
1601356736659360408,0.2120903910264005,-228.47705896811271,-80,2944,26453
1601356736813719272,0.21635135644821807,-228.53609778880096,-80,3095,26453
1601356736971392869,0.22060741017893412,-228.59518493833838,-80,2959,26453
1601356737133809566,0.2263281935845007,-228.6743642805049,-80,3306,26453
1601356737289960145,0.22916187936736068,-228.7135960601371,-80,2926,26453
1601356737452190876,0.23489074110299,-228.79263088981685,-81,3245,26453
1601356737611211538,0.24059609128345644,-228.87166742048376,-82,2949,26453
1601356737766526937,0.24341324854804208,-228.9109963388706,-81,2598,26453
1601356737925020456,0.24760569554842965,-228.97008803531253,-80,3455,26453
1601356738083244562,0.2518101031866648,-229.02951468627344,-80,3306,26453
1601356738241561174,0.2574266733012406,-229.10889337788078,-80,3342,26453
1601356738394937753,0.26023067674965744,-229.14841512637918,-80,3544,26453
1601356738555676221,0.26587752838770196,-229.22769572355912,-79,3493,26453
1601356738712114095,0.27011906884813547,-229.28731162737893,-80,3623,26453
1601356738752290248,0.27011906884813547,-229.28731162737893,-103,29985,27204
1601356738870294094,0.27433520782082266,-229.34668947426533,-80,3698,26453
